Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  1  1  -0.1  983 192  2.2 4  3.6  89    0    0 243 -318  0
3823500 2818500  1  1  2   1.3  983 228  2.0 3  3.9  88    0    0 231 -319  0
3823500 2818500  1  1  3   2.2  984 260  2.0 2  4.1  88    0    0 224 -319  0
3823500 2818500  1  1  4   1.9  984 261  2.4 1  4.0  88    0    0 220 -319  0
3823500 2818500  1  1  5   1.9  985 266  2.4 1  3.9  88    0    0 213 -319  0
3823500 2818500  1  1  6   1.6  985 278  4.0 0  3.8  87    0    0 208 -319  0
3823500 2818500  1  1  7   1.9  986 266  1.3 3  3.8  87    0    0 225 -319  0
3823500 2818500  1  1  8   1.7  987 278  0.8 5  3.9  87    0    0 249 -318  0
3823500 2818500  1  1  9   1.9  988 263  2.6 4  3.8  86    0    0 253 -318  0
3823500 2818500  1  1 10   1.9  988 279  3.9 6  3.7  83    0   21 257 -317  0
3823500 2818500  1  1 11   1.8  989 268  5.5 5  3.6  80    9   76 260 -317  0
3823500 2818500  1  1 12   2.0  990 256  5.8 4  3.5  79   22  111 251 -317  0
3823500 2818500  1  1 13   1.5  990 252  4.7 6  3.5  80    3   94 255 -317  0
3823500 2818500  1  1 14   0.3  990 259  5.1 8  3.6  87    0   36 271 -318  0
3823500 2818500  1  1 15   0.2  990 271  5.2 8  3.7  94    0   18 279 -317  0
3823500 2818500  1  1 16  -0.2  989 267  6.3 8  3.8  97    0   11 278 -316  0
3823500 2818500  1  1 17  -0.4  989 252  5.0 8  3.7  98    0    2 277 -313  0
3823500 2818500  1  1 18  -0.4  989 250  5.0 7  3.6  96    0    0 271 -312  0
3823500 2818500  1  1 19  -0.2  989 247  5.7 7  3.6  94    0    0 268 -312  0
3823500 2818500  1  1 20  -0.3  989 255  7.5 8  3.6  95    0    0 274 -312  0
3823500 2818500  1  1 21   0.1  988 251  9.1 8  3.7  96    0    0 281 -313  0
3823500 2818500  1  1 22   0.6  988 276  7.4 8  3.8  96    0    0 284 -314  0
3823500 2818500  1  1 23   0.7  988 277  5.0 8  3.9  95    0    0 287 -316  0
3823500 2818500  1  1 24   0.4  989 278  3.3 8  3.9  95    0    0 288 -317  0
3823500 2818500  1  2  1   1.4  990 267  5.3 8  3.8  92    0    0 290 -317  0
3823500 2818500  1  2  2   1.7  990 271  5.1 6  3.7  86    0    0 285 -318  0
3823500 2818500  1  2  3   2.1  990 275  5.0 5  3.7  84    0    0 275 -318  0
3823500 2818500  1  2  4   1.7  991 280  5.4 5  3.8  85    0    0 272 -317  0
3823500 2818500  1  2  5   1.2  992 272  5.2 5  3.9  90    0    0 272 -316  0
3823500 2818500  1  2  6   1.0  992 275  5.9 7  3.9  93    0    0 281 -316  0
3823500 2818500  1  2  7   0.6  992 278  5.0 7  3.8  94    0    0 289 -316  0
3823500 2818500  1  2  8   0.8  993 279  4.0 7  3.8  94    0    0 288 -316  0
3823500 2818500  1  2  9   0.7  993 307  3.0 7  3.9  94    0    0 289 -316  0
3823500 2818500  1  2 10   0.9  995 303  1.7 7  3.9  95    0   22 288 -316  0
3823500 2818500  1  2 11   1.1  996 293  1.2 7  3.9  95    0   36 288 -317  0
3823500 2818500  1  2 12   1.5  998 296  1.8 6  4.0  94   19   80 283 -317  0
3823500 2818500  1  2 13   1.8  999 311  1.6 5  4.0  92   37   85 273 -318  0
3823500 2818500  1  2 14   1.9 1000 327  2.7 6  3.9  89   39   76 274 -318  0
3823500 2818500  1  2 15   1.4 1001 335  1.8 5  3.8  88   13   58 274 -318  0
3823500 2818500  1  2 16   1.2 1003 342  2.7 6  3.8  89    0   16 273 -317  0
3823500 2818500  1  2 17   1.4 1004 314  2.7 7  3.7  88    0    1 284 -315  0
3823500 2818500  1  2 18   1.0 1005 312  2.4 7  3.6  87    0    0 288 -312  0
3823500 2818500  1  2 19   0.7 1006 330  2.1 6  3.6  89    0    0 281 -312  0
3823500 2818500  1  2 20   0.7 1008 323  1.6 5  3.6  90    0    0 270 -312  0
3823500 2818500  1  2 21   0.7 1009 332  1.0 5  3.6  91    0    0 265 -311  0
3823500 2818500  1  2 22   0.6 1011 345  0.9 6  3.6  90    0    0 271 -309  0
3823500 2818500  1  2 23   0.7 1012 339  0.4 6  3.5  88    0    0 276 -307  0
3823500 2818500  1  2 24   0.3 1013 343  0.6 6  3.4  87    0    0 275 -305  0
3823500 2818500  1  3  1   0.8 1015   3  0.2 6  3.3  85    0    0 276 -303  0
3823500 2818500  1  3  2   0.7 1015 353  0.2 6  3.3  82    0    0 276 -303  0
3823500 2818500  1  3  3   0.7 1016 335  0.1 7  3.2  81    0    0 282 -302  0
3823500 2818500  1  3  4   0.7 1017 335  0.1 7  3.2  81    0    0 288 -306  0
3823500 2818500  1  3  5   0.4 1017 336  0.6 7  3.2  82    0    0 286 -306  0
3823500 2818500  1  3  6   0.4 1018 349  0.7 6  3.2  82    0    0 279 -300  0
3823500 2818500  1  3  7   0.5 1019 359  1.3 7  3.2  81    0    0 279 -296  0
3823500 2818500  1  3  8   0.4 1019  10  1.0 6  3.1  80    0    0 277 -295  0
3823500 2818500  1  3  9   0.4 1020  13  0.8 6  3.1  80    0    0 270 -294  0
3823500 2818500  1  3 10   0.6 1021   4  0.3 7  3.1  81    0   23 273 -293  0
3823500 2818500  1  3 11   0.7 1022  22  1.3 6  3.2  81    2   56 274 -294  0
3823500 2818500  1  3 12   1.2 1023  46  1.6 4  3.2  80   21   96 259 -296  0
3823500 2818500  1  3 13   1.4 1023  55  1.3 2  3.2  78   82  101 239 -298  0
3823500 2818500  1  3 14   1.4 1023  63  1.2 1  3.1  76  133   72 222 -299  0
3823500 2818500  1  3 15   1.8 1023  54  1.2 1  3.1  74   96   56 218 -298  0
3823500 2818500  1  3 16   0.9 1023  69  1.4 3  3.0  74   28   34 227 -296  0
3823500 2818500  1  3 17  -0.7 1024  63  0.9 1  2.9  76    0    5 223 -292  0
3823500 2818500  1  3 18  -2.7 1024  90  0.7 2  2.7  81    0    0 212 -289  0
3823500 2818500  1  3 19  -2.9 1024  89  0.7 0  2.6  84    0    0 205 -288  0
3823500 2818500  1  3 20  -3.0 1025 101  0.6 0  2.6  86    0    0 196 -287  0
3823500 2818500  1  3 21  -4.1 1025  93  0.3 0  2.5  88    0    0 195 -286  0
3823500 2818500  1  3 22  -4.9 1024 102  0.4 0  2.4  90    0    0 192 -285  0
3823500 2818500  1  3 23  -4.8 1024  59  0.2 0  2.3  88    0    0 192 -285  0
3823500 2818500  1  3 24  -5.7 1024  72  0.4 0  2.3  89    0    0 191 -284  0
3823500 2818500  1  4  1  -6.2 1024  23  0.1 0  2.2  92    0    0 189 -285  0
3823500 2818500  1  4  2  -6.1 1025  70  0.1 0  2.2  92    0    0 188 -284  0
3823500 2818500  1  4  3  -6.8 1025 154  0.1 0  2.2  94    0    0 187 -284  0
3823500 2818500  1  4  4  -7.1 1025  92  0.3 0  2.1  95    0    0 186 -284  0
3823500 2818500  1  4  5  -6.3 1025  94  0.2 0  2.1  94    0    0 186 -283  0
3823500 2818500  1  4  6  -6.6 1024  98  0.1 0  2.2  94    0    0 186 -283  0
3823500 2818500  1  4  7  -6.6 1024  74  0.1 0  2.1  94    0    0 186 -282  0
3823500 2818500  1  4  8  -7.2 1024 155  0.1 0  2.1  93    0    0 184 -282  0
3823500 2818500  1  4  9  -6.9 1025  94  0.1 0  2.1  94    0    0 184 -281  0
3823500 2818500  1  4 10  -5.4 1025  98  0.4 0  2.2  95   20   33 185 -280  0
3823500 2818500  1  4 11  -4.5 1025  95  0.4 0  2.5  95   80   58 188 -281  0
3823500 2818500  1  4 12  -3.5 1025  90  0.2 0  2.6  92  138   62 190 -283  0
3823500 2818500  1  4 13  -2.3 1026 116  0.2 0  2.6  86  167   58 193 -286  0
3823500 2818500  1  4 14  -1.2 1026 137  0.2 0  2.6  78  176   42 195 -288  0
3823500 2818500  1  4 15  -1.6 1025  72  0.3 0  2.4  72  123   38 195 -289  0
3823500 2818500  1  4 16  -1.6 1025  98  0.5 1  2.3  70   37   29 198 -287  0
3823500 2818500  1  4 17  -4.1 1025  96  0.7 0  2.2  74    0    6 195 -285  0
3823500 2818500  1  4 18  -5.0 1024  83  0.8 0  2.2  82    0    0 188 -282  0
3823500 2818500  1  4 19  -5.9 1024  69  0.1 0  2.1  85    0    0 186 -280  0
3823500 2818500  1  4 20  -6.1 1024  98  1.0 0  2.1  86    0    0 185 -279  0
3823500 2818500  1  4 21  -6.2 1024 114  1.4 0  2.0  84    0    0 184 -279  0
3823500 2818500  1  4 22  -5.3 1024 118  2.4 1  2.0  81    0    0 188 -279  0
3823500 2818500  1  4 23  -5.7 1024 111  2.3 1  2.0  79    0    0 190 -278  0
3823500 2818500  1  4 24  -5.6 1024 124  2.2 1  2.0  80    0    0 189 -278  0
3823500 2818500  1  5  1  -5.6 1024 122  1.3 0  2.0  79    0    0 187 -277  0
3823500 2818500  1  5  2  -6.3 1024 129  0.2 1  1.9  81    0    0 186 -277  0
3823500 2818500  1  5  3  -6.7 1024 126  1.4 1  1.9  83    0    0 187 -277  0
3823500 2818500  1  5  4  -7.1 1024 130  2.3 1  1.9  85    0    0 186 -276  0
3823500 2818500  1  5  5  -7.3 1024 133  1.7 0  1.9  86    0    0 184 -277  0
3823500 2818500  1  5  6  -7.5 1023 133  1.1 0  1.9  88    0    0 182 -277  0
3823500 2818500  1  5  7  -7.3 1023 132  1.4 0  1.9  88    0    0 182 -277  0
3823500 2818500  1  5  8  -7.4 1022 138  0.9 0  1.9  87    0    0 182 -277  0
3823500 2818500  1  5  9  -7.6 1022 139  0.9 0  1.9  88    0    0 182 -277  0
3823500 2818500  1  5 10  -7.2 1022 138  0.6 0  1.9  88   13   33 182 -277  0
3823500 2818500  1  5 11  -5.8 1022 139  0.7 0  1.9  84   70   54 183 -278  0
3823500 2818500  1  5 12  -5.0 1021 141  1.3 0  2.0  79  118   60 184 -281  0
3823500 2818500  1  5 13  -4.2 1021 135  1.9 0  2.0  74  143   58 186 -285  0
3823500 2818500  1  5 14  -3.9 1020 144  2.0 0  2.0  71  143   45 186 -288  0
3823500 2818500  1  5 15  -4.0 1019 135  1.6 1  2.0  70  113   31 188 -290  0
3823500 2818500  1  5 16  -4.9 1018 133  1.0 2  1.9  70   46   21 191 -289  0
3823500 2818500  1  5 17  -6.0 1017 134  0.9 3  1.8  73    2    7 196 -287  0
3823500 2818500  1  5 18  -6.4 1016 132  1.3 3  1.8  77    0    0 198 -286  0
3823500 2818500  1  5 19  -6.7 1016 135  1.6 2  1.8  79    0    0 196 -285  0
3823500 2818500  1  5 20  -6.8 1015 136  1.4 2  1.8  80    0    0 195 -283  0
3823500 2818500  1  5 21  -6.8 1014 133  1.3 2  1.8  80    0    0 197 -282  0
