Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  1  1   5.9 1000 176  1.7 7  6.0  97    0    0 357 -358  1
3823500 2818500  1  1  2   8.4 1000 204  2.2 8  6.9  96    0    0 357 -359  1
3823500 2818500  1  1  3  10.4 1000 224  2.8 8  7.5  95    0    0 359 -361  1
3823500 2818500  1  1  4  10.5 1000 223  3.0 8  7.6  95    0    0 360 -362  1
3823500 2818500  1  1  5  10.7 1000 223  3.1 8  7.7  95    0    0 362 -363  1
3823500 2818500  1  1  6  10.9 1000 221  3.4 8  7.8  95    0    0 361 -365  1
3823500 2818500  1  1  7  11.0  999 221  3.0 8  7.9  95    0    0 363 -366  1
3823500 2818500  1  1  8  11.2  999 220  3.7 8  7.9  94    0    0 364 -367  1
3823500 2818500  1  1  9  11.3 1000 223  3.2 8  7.9  94    0    1 364 -368  1
3823500 2818500  1  1 10  11.4 1000 232  3.2 8  8.0  94    0   11 365 -369  1
3823500 2818500  1  1 11  11.7 1000 236  3.2 8  8.1  94    0   22 367 -370  1
3823500 2818500  1  1 12  11.8 1001 234  2.9 8  8.2  94    0   22 368 -371  1
3823500 2818500  1  1 13  11.8 1001 225  2.6 7  8.3  94    0   44 358 -371  1
3823500 2818500  1  1 14  12.1 1000 228  2.5 7  8.3  94    1   64 350 -371  1
3823500 2818500  1  1 15  12.0 1000 216  2.3 8  8.3  94    0   28 360 -371  1
3823500 2818500  1  1 16  11.9  999 202  2.8 8  8.4  94    0    7 370 -372  1
3823500 2818500  1  1 17  11.9  999 196  1.8 8  8.4  95    0    0 370 -372  1
3823500 2818500  1  1 18  12.1  998 198  3.2 8  8.4  95    0    0 369 -372  1
3823500 2818500  1  1 19  11.9  998 197  4.1 8  8.5  96    0    0 369 -373  1
3823500 2818500  1  1 20  12.1  997 199  4.8 8  8.5  95    0    0 368 -373  1
3823500 2818500  1  1 21  12.2  996 195  4.5 8  8.3  93    0    0 367 -373  1
3823500 2818500  1  1 22  12.8  995 199  5.7 8  8.3  90    0    0 367 -373  1
3823500 2818500  1  1 23  13.1  993 202  5.1 8  8.2  86    0    0 369 -372  1
