Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  1  1   0.7 1014 161  1.3 5  3.8  89    0    0 331 -334  3
3823500 2818500  1  1  2   2.5 1014 185  1.3 7  4.3  92    0    0 331 -334  3
3823500 2818500  1  1  3   3.9 1013 201  1.3 8  4.6  93    0    0 332 -336  3
3823500 2818500  1  1  4   4.0 1013 202  1.4 8  4.6  92    0    0 332 -337  3
3823500 2818500  1  1  5   4.1 1013 204  1.7 8  4.6  92    0    0 334 -339  3
3823500 2818500  1  1  6   4.2 1013 202  1.9 8  4.6  91    0    0 334 -341  3
3823500 2818500  1  1  7   4.3 1013 219  2.1 8  4.7  92    0    0 335 -342  3
3823500 2818500  1  1  8   4.2 1013 209  1.8 8  4.8  94    0    0 336 -344  3
3823500 2818500  1  1  9   4.3 1013 208  1.7 8  4.9  95    0    0 337 -345  3
3823500 2818500  1  1 10   4.5 1013 217  1.8 8  5.0  96    4   28 338 -346  3
3823500 2818500  1  1 11   4.7 1013 230  1.9 8  5.1  97    0   48 339 -348  3
3823500 2818500  1  1 12   5.3 1013 242  2.3 8  5.3  97    0   39 341 -350  3
3823500 2818500  1  1 13   5.7 1013 262  2.6 7  5.4  97    0   31 338 -352  3
3823500 2818500  1  1 14   6.4 1013 280  2.7 7  5.7  98    0   23 334 -353  3
3823500 2818500  1  1 15   6.6 1013 300  2.6 8  5.9  98    0   17 342 -353  3
3823500 2818500  1  1 16   6.9 1014 311  2.1 8  5.8  95    0   10 349 -353  3
3823500 2818500  1  1 17   5.1 1015 322  0.7 7  5.5  95    0    1 338 -350  3
3823500 2818500  1  1 18   4.4 1015 279  1.2 7  5.2  98    0    0 326 -348  3
3823500 2818500  1  1 19   4.0 1016 270  1.6 6  5.0  99    0    0 316 -347  3
3823500 2818500  1  1 20   4.1 1016 253  1.4 4  4.9  97    0    0 294 -345  3
3823500 2818500  1  1 21   4.3 1017 259  1.6 5  4.9  96    0    0 287 -344  3
3823500 2818500  1  1 22   4.0 1017 276  1.0 6  4.9  96    0    0 297 -342  3
3823500 2818500  1  1 23   4.1 1018 264  1.1 7  4.9  98    0    0 307 -340  3
3823500 2818500  1  1 24   3.9 1019 263  1.7 6  4.9  98    0    0 303 -337  3
3823500 2818500  1  2  1   3.8 1019 265  1.9 7  4.9  98    0    0 299 -333  3
3823500 2818500  1  2  2   3.0 1019 239  1.7 7  4.8  99    0    0 300 -329  3
3823500 2818500  1  2  3   3.5 1019 217  1.8 5  4.8 100    0    0 283 -326  3
3823500 2818500  1  2  4   3.5 1019 238  3.0 7  4.8  98    0    0 281 -324  3
3823500 2818500  1  2  5   3.1 1019 251  3.3 8  4.7  97    0    0 298 -323  3
3823500 2818500  1  2  6   3.3 1019 251  3.0 5  4.7  98    0    0 285 -323  3
3823500 2818500  1  2  7   3.9 1019 228  2.4 5  4.8  98    0    0 267 -327  3
3823500 2818500  1  2  8   4.4 1019 200  1.5 8  5.0  98    0    0 288 -331  3
3823500 2818500  1  2  9   4.2 1019 194  2.0 6  5.0  97    0    0 296 -332  3
3823500 2818500  1  2 10   4.4 1019 211  2.4 7  4.9  96   21   35 293 -332  3
3823500 2818500  1  2 11   5.4 1019 212  2.6 6  5.0  94   15   68 297 -333  3
3823500 2818500  1  2 12   6.3 1020 203  2.9 6  5.1  90   19   94 295 -334  3
3823500 2818500  1  2 13   7.1 1019 209  3.4 7  5.2  86   13   98 302 -336  3
3823500 2818500  1  2 14   7.5 1019 220  3.0 6  5.3  84    7   86 304 -337  3
3823500 2818500  1  2 15   7.3 1019 219  2.9 8  5.4  84    0   23 313 -338  3
3823500 2818500  1  2 16   6.9 1018 224  2.7 7  5.4  87    0   18 322 -338  3
3823500 2818500  1  2 17   7.1 1018 235  2.8 8  5.5  88    0    3 324 -336  3
3823500 2818500  1  2 18   7.0 1018 241  2.9 7  5.5  88    0    0 324 -335  3
3823500 2818500  1  2 19   7.0 1018 226  2.7 8  5.6  90    0    0 324 -335  3
3823500 2818500  1  2 20   7.0 1018 228  2.2 8  5.7  91    0    0 329 -334  3
3823500 2818500  1  2 21   7.3 1018 229  2.4 8  5.8  92    0    0 328 -332  3
3823500 2818500  1  2 22   7.5 1018 229  2.3 8  5.9  92    0    0 328 -330  3
3823500 2818500  1  2 23   7.7 1017 234  1.8 8  5.9  92    0    0 329 -330  3
3823500 2818500  1  2 24   7.6 1017 234  2.2 7  5.9  90    0    0 324 -331  3
3823500 2818500  1  3  1   7.6 1017 233  2.1 7  5.8  89    0    0 318 -330  3
