Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  1  1   1.6 1024 240  3.4 7  4.0  94    0    0 250 -282  2
3823500 2818500  1  1  2   0.6 1024 250  3.6 7  3.7  94    0    0 250 -282  2
3823500 2818500  1  1  3  -0.3 1024 259  3.6 6  3.5  94    0    0 243 -281  2
3823500 2818500  1  1  4  -0.5 1024 264  3.2 6  3.4  94    0    0 239 -281  2
3823500 2818500  1  1  5  -0.9 1025 268  2.8 5  3.3  93    0    0 232 -281  2
3823500 2818500  1  1  6  -1.3 1025 271  2.0 4  3.2  94    0    0 225 -281  2
3823500 2818500  1  1  7  -1.5 1025 273  2.6 5  3.2  94    0    0 223 -281  2
3823500 2818500  1  1  8  -1.6 1026 262  1.5 5  3.2  97    0    0 226 -281  2
3823500 2818500  1  1  9  -0.8 1026 256  2.4 4  3.3  96    0    0 226 -281  2
3823500 2818500  1  1 10  -0.7 1027 257  2.7 3  3.3  94   43   15 223 -282  2
3823500 2818500  1  1 11   0.2 1027 257  3.1 3  3.4  91   91   27 221 -284  2
3823500 2818500  1  1 12   0.5 1027 256  4.1 3  3.4  89   34   84 223 -287  2
3823500 2818500  1  1 13   1.0 1027 254  3.9 3  3.5  87   48   90 225 -290  2
3823500 2818500  1  1 14   0.8 1027 256  4.1 4  3.4  86   48   79 229 -292  2
3823500 2818500  1  1 15   0.1 1027 252  4.0 4  3.4  87   16   59 230 -292  2
3823500 2818500  1  1 16  -0.3 1027 250  4.7 5  3.3  89    0   15 229 -291  2
3823500 2818500  1  1 17  -0.5 1027 250  5.0 6  3.3  90    0    0 233 -288  2
3823500 2818500  1  1 18  -0.6 1027 253  5.2 7  3.3  92    0    0 238 -286  2
3823500 2818500  1  1 19  -0.3 1026 255  4.9 7  3.4  93    0    0 240 -285  2
3823500 2818500  1  1 20  -0.1 1026 254  5.0 8  3.4  93    0    0 244 -285  2
3823500 2818500  1  1 21   0.0 1026 257  5.6 8  3.5  94    0    0 248 -284  2
3823500 2818500  1  1 22   0.0 1026 255  5.3 8  3.5  94    0    0 249 -283  2
3823500 2818500  1  1 23  -0.2 1026 252  5.0 8  3.5  94    0    0 250 -282  2
3823500 2818500  1  1 24  -0.2 1026 259  5.4 8  3.4  93    0    0 249 -282  2
3823500 2818500  1  2  1  -0.5 1026 257  4.8 7  3.4  93    0    0 247 -280  2
3823500 2818500  1  2  2  -0.5 1025 266  4.7 7  3.4  94    0    0 246 -279  2
3823500 2818500  1  2  3  -0.3 1025 257  5.2 7  3.4  94    0    0 247 -278  2
3823500 2818500  1  2  4  -0.2 1025 257  4.7 7  3.4  94    0    0 250 -278  2
3823500 2818500  1  2  5   0.0 1025 264  4.5 7  3.5  93    0    0 255 -277  2
3823500 2818500  1  2  6  -0.1 1025 261  4.7 8  3.5  93    0    0 263 -277  2
3823500 2818500  1  2  7  -0.2 1025 260  4.4 8  3.5  93    0    0 273 -276  2
3823500 2818500  1  2  8  -0.2 1025 259  4.3 8  3.5  94    0    0 279 -276  2
3823500 2818500  1  2  9  -0.3 1025 260  3.5 8  3.5  94    0    0 283 -275  2
3823500 2818500  1  2 10  -0.3 1025 252  3.0 7  3.5  95    0   10 282 -275  2
3823500 2818500  1  2 11   0.1 1026 256  3.1 8  3.6  96    0   26 285 -277  2
3823500 2818500  1  2 12   0.3 1026 254  2.7 8  3.6  95    0   48 291 -281  2
3823500 2818500  1  2 13   1.2 1026 264  3.3 6  3.7  92    1   82 282 -285  2
3823500 2818500  1  2 14   1.2 1026 260  3.7 7  3.7  90    0   49 278 -288  2
3823500 2818500  1  2 15   1.0 1025 255  3.2 7  3.7  91    0   47 282 -288  2
3823500 2818500  1  2 16   0.8 1025 253  1.6 7  3.7  92    0   13 282 -285  2
3823500 2818500  1  2 17   0.3 1025 274  1.5 7  3.6  93    0    3 280 -280  2
3823500 2818500  1  2 18   0.2 1025  26  0.3 7  3.6  94    0    0 280 -277  2
3823500 2818500  1  2 19   0.2 1026  21  0.0 8  3.6  96    0    0 283 -279  2
3823500 2818500  1  2 20   0.1 1026  14  0.0 8  3.7  96    0    0 285 -281  2
3823500 2818500  1  2 21   0.6 1026  91  1.1 8  3.7  95    0    0 282 -281  2
3823500 2818500  1  2 22   0.6 1026  91  1.3 8  3.7  94    0    0 280 -282  2
3823500 2818500  1  2 23   0.5 1026  93  1.5 8  3.6  92    0    0 277 -284  2
3823500 2818500  1  2 24   0.4 1027  96  1.7 8  3.5  91    0    0 273 -288  2
3823500 2818500  1  3  1   0.2 1027  81  1.4 7  3.4  90    0    0 265 -291  2
3823500 2818500  1  3  2  -0.5 1027  90  1.6 5  3.2  87    0    0 248 -292  2
3823500 2818500  1  3  3  -1.4 1027  90  0.1 3  3.1  88    0    0 228 -292  2
3823500 2818500  1  3  4  -2.2 1027 100  0.8 2  2.9  88    0    0 215 -292  2
3823500 2818500  1  3  5  -2.6 1028  93  1.4 1  2.7  87    0    0 208 -290  2
3823500 2818500  1  3  6  -2.9 1028  95  1.9 0  2.6  86    0    0 204 -288  2
3823500 2818500  1  3  7  -3.4 1027 104  2.2 1  2.5  85    0    0 203 -286  2
3823500 2818500  1  3  8  -3.9 1027 120  2.1 1  2.4  83    0    0 202 -285  2
3823500 2818500  1  3  9  -4.0 1027 114  2.3 1  2.2  80    0    0 200 -284  2
3823500 2818500  1  3 10  -3.2 1027 115  2.5 1  2.2  77   34   27 200 -283  2
3823500 2818500  1  3 11  -2.9 1027 119  2.4 2  2.2  73  108   34 201 -283  2
3823500 2818500  1  3 12  -2.4 1028 111  2.3 1  2.2  71  147   40 200 -285  2
3823500 2818500  1  3 13  -2.0 1028 100  2.0 2  2.2  68  162   41 200 -288  2
3823500 2818500  1  3 14  -1.3 1028 106  2.4 2  2.1  65  150   35 202 -290  2
3823500 2818500  1  3 15  -1.4 1028  95  2.2 3  2.1  62   89   39 204 -291  2
3823500 2818500  1  3 16  -1.9 1028 107  2.1 3  2.1  63   46   23 205 -289  2
3823500 2818500  1  3 17  -2.7 1028 101  1.8 3  2.0  65    0    0 204 -286  2
3823500 2818500  1  3 18  -3.2 1027 104  2.0 2  2.0  66    0    0 201 -283  2
3823500 2818500  1  3 19  -3.5 1027 111  2.0 0  1.9  65    0    0 196 -282  2
3823500 2818500  1  3 20  -3.9 1027 114  2.3 0  1.8  65    0    0 192 -280  2
3823500 2818500  1  3 21  -4.2 1027  96  1.6 0  1.8  64    0    0 191 -279  2
3823500 2818500  1  3 22  -4.6 1027 101  1.7 0  1.7  65    0    0 190 -278  2
3823500 2818500  1  3 23  -4.8 1027 106  1.2 1  1.7  66    0    0 192 -278  2
3823500 2818500  1  3 24  -5.4 1027 105  0.9 1  1.7  66    0    0 193 -277  2
3823500 2818500  1  4  1  -5.1 1026  90  1.3 2  1.7  66    0    0 195 -276  2
3823500 2818500  1  4  2  -5.7 1026  97  1.4 2  1.7  66    0    0 197 -276  2
3823500 2818500  1  4  3  -5.7 1026 102  0.9 1  1.6  66    0    0 194 -275  2
3823500 2818500  1  4  4  -5.9 1026  96  0.9 0  1.6  66    0    0 191 -275  2
3823500 2818500  1  4  5  -6.5 1025  90  0.8 0  1.6  67    0    0 188 -275  2
3823500 2818500  1  4  6  -7.0 1025 109  0.7 0  1.6  69    0    0 186 -275  2
3823500 2818500  1  4  7  -7.8 1025  88  1.1 0  1.5  71    0    0 185 -275  2
3823500 2818500  1  4  8  -7.9 1025  75  0.3 0  1.5  72    0    0 184 -275  2
3823500 2818500  1  4  9  -7.6 1026  90  0.7 0  1.5  71    0    0 184 -275  2
3823500 2818500  1  4 10  -5.6 1026 111  0.6 0  1.6  70   37   19 186 -275  2
3823500 2818500  1  4 11  -3.8 1026 110  0.9 1  1.6  63  114   23 193 -278  2
3823500 2818500  1  4 12  -1.9 1027 108  0.9 1  1.6  53  146   30 198 -281  2
3823500 2818500  1  4 13  -0.7 1027 114  0.9 1  1.7  50  152   31 202 -285  2
3823500 2818500  1  4 14  -0.4 1027 124  1.3 1  1.7  47  140   28 202 -288  2
3823500 2818500  1  4 15  -0.2 1026 127  1.3 1  1.6  45  108   22 204 -289  2
3823500 2818500  1  4 16  -1.0 1026 119  1.0 1  1.6  45   51   11 204 -287  2
3823500 2818500  1  4 17  -2.4 1026 100  1.2 1  1.6  48    0    4 202 -284  2
3823500 2818500  1  4 18  -3.4 1027 107  1.4 0  1.6  53    0    0 197 -282  2
3823500 2818500  1  4 19  -4.0 1026 133  1.0 0  1.6  57    0    0 193 -281  2
3823500 2818500  1  4 20  -4.5 1026 121  0.8 0  1.6  60    0    0 193 -281  2
3823500 2818500  1  4 21  -4.9 1026 123  1.1 0  1.6  62    0    0 191 -281  2
3823500 2818500  1  4 22  -5.5 1026 131  1.4 0  1.6  64    0    0 189 -280  2
3823500 2818500  1  4 23  -5.7 1026 136  0.7 0  1.6  67    0    0 188 -280  2
3823500 2818500  1  4 24  -6.6 1027  99  0.9 0  1.6  69    0    0 185 -280  2
