stunde_des_jahres,t
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,14.940999999999997
7,15.074999999999996
8,15.141999999999998
9,14.605999999999998
10,14.538999999999996
11,13.935999999999996
12,13.734999999999998
13,13.399999999999997
14,13.533999999999997
15,14.002999999999997
16,14.270999999999999
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,14.136999999999999
31,14.203999999999997
32,14.203999999999997
33,14.270999999999999
34,14.270999999999999
35,14.002999999999997
36,13.868999999999996
37,13.265999999999998
38,13.265999999999998
39,13.399999999999997
40,13.533999999999997
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,18.692999999999994
103,18.692999999999994
104,18.894
105,19.429999999999996
106,17.621
107,16.347999999999995
108,15.074999999999996
109,14.002999999999997
110,13.399999999999997
111,13.332999999999997
112,13.801999999999998
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,14.739999999999998
127,14.605999999999998
128,14.337999999999997
129,14.337999999999997
130,14.270999999999999
131,14.069999999999997
132,14.002999999999997
133,13.868999999999996
134,13.667999999999997
135,13.600999999999999
136,13.533999999999997
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,12.729999999999999
151,12.796999999999997
152,12.997999999999996
153,12.997999999999996
154,12.863999999999997
155,12.462
156,12.260999999999997
157,12.059999999999997
158,11.992999999999997
159,12.260999999999997
160,12.327999999999996
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,12.863999999999997
175,12.930999999999997
176,12.863999999999997
177,12.997999999999996
178,12.930999999999997
179,12.729999999999999
180,12.662999999999997
181,12.528999999999998
182,12.462
183,12.462
184,12.528999999999998
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,15.409999999999998
199,15.476999999999997
200,15.208999999999996
201,15.342999999999996
202,14.940999999999997
